
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34143.000000 2047   22 18 07.67898  114 11 25.43095        2.897        0.000        0.000     0.012     0.004    -0.004 3     -1.99510    0.61730  138.18370
 34143.100000 2047   22 18 07.67897  114 11 25.43097        2.897        0.000        0.000     0.005    -0.001     0.006 3     -1.99550    0.61830  138.18480
 34143.200000 2047   22 18 07.67897  114 11 25.43099        2.896        0.000        0.000     0.003     0.000    -0.013 3     -1.99830    0.61950  138.18490
 34143.300000 2047   22 18 07.67896  114 11 25.43100        2.896        0.000        0.000     0.011     0.000     0.011 3     -1.99660    0.61580  138.18340
 34143.400000 2047   22 18 07.67896  114 11 25.43102        2.896        0.000        0.000     0.003    -0.006    -0.013 3     -1.99920    0.61990  138.18550
 34143.500000 2047   22 18 07.67896  114 11 25.43104        2.896        0.000        0.000     0.013     0.003     0.007 3     -1.99800    0.61940  138.18340
 34143.600000 2047   22 18 07.67896  114 11 25.43105        2.895        0.000        0.000     0.004    -0.006    -0.008 3     -2.00210    0.62190  138.18470
 34143.700000 2047   22 18 07.67896  114 11 25.43107        2.895        0.000        0.000     0.014     0.002     0.002 3     -1.99590    0.61960  138.18410
 34143.800000 2047   22 18 07.67895  114 11 25.43108        2.894        0.000        0.000     0.002    -0.005    -0.006 3     -2.00060    0.62350  138.18370
 34143.900000 2047   22 18 07.67895  114 11 25.43110        2.894        0.000        0.000     0.012     0.004     0.001 3     -1.99220    0.61900  138.18400
 34144.000000 2047   22 18 07.67895  114 11 25.43111        2.894        0.000        0.000     0.002    -0.003    -0.007 3     -1.99860    0.62290  138.18360
 34144.100000 2047   22 18 07.67896  114 11 25.43113        2.894        0.000        0.000     0.010     0.004     0.001 3     -1.99860    0.61910  138.18560
 34144.200000 2047   22 18 07.67895  114 11 25.43114        2.893        0.000        0.000     0.003    -0.004    -0.008 3     -2.00430    0.61940  138.18380
 34144.300000 2047   22 18 07.67895  114 11 25.43116        2.893        0.000        0.000     0.011     0.001     0.001 3     -1.99930    0.61490  138.18520
 34144.400000 2047   22 18 07.67895  114 11 25.43117        2.892        0.000        0.000     0.004    -0.001    -0.012 3     -2.00300    0.61630  138.18440
 34144.500000 2047   22 18 07.67895  114 11 25.43118        2.892        0.000        0.000     0.008    -0.001     0.002 3     -1.99600    0.61520  138.18330
 34144.600000 2047   22 18 07.67895  114 11 25.43119        2.891        0.000        0.000     0.009     0.002    -0.014 3     -1.99870    0.61440  138.18480
 34144.700000 2047   22 18 07.67895  114 11 25.43120        2.891        0.000        0.000     0.004    -0.001     0.002 3     -1.99800    0.61870  138.18310
 34144.800000 2047   22 18 07.67895  114 11 25.43122        2.890        0.000        0.000     0.009     0.001    -0.014 3     -2.00120    0.61730  138.18440
